523,0000000019,q=%40timgriffinar2
292,0000000019,q=%40JebBush
1159,0000000019,q=%40AnnDRomney
1193,0000000019,q=george%20lindsey
329,0000000019,q=%40hungergames
637,0000000019,q=%40repwilson
1867,0000000019,q=%40erik_paulsen
1160,0000000018,q=%23tornado
1161,0000000018,q=%23twister
1001,0000000018,q=%40congjoewilson
863,0000000018,q=%40heinrich4nm
1306,0000000018,q=%40Capito4congress
855,0000000018,q=%40frankpallone
461,0000000018,q=%40senwhitehouse
1716,0000000017,q=%23sgp
1874,0000000017,q=%40mikeparry
1361,0000000017,q=%23auburnshooting
2132,0000000017,q=%40paulryanvp
509,0000000017,q=%40bquayle
1192,0000000017,q=adam%20yauch
1721,0000000017,q=%40cimbreloforMA
1018,0000000017,q=%40repdianeblack
331,0000000017,q=%40thehoborg
1115,0000000017,q=%40duffy4congress
386,0000000017,q=%40chuckgrassley
53,0000000017,q=%40RonPaul_2012
399,0000000017,q=%40senatorcollins
811,0000000017,q=%40michelebachmann
1712,0000000016,q=%40markgreenbergct
1886,0000000016,q=%40tarrylclark
363,0000000016,q=%40joelieberman
521,0000000016,q=%40griffincongress
1408,0000000016,q=%23mitt2012
1982,0000000016,q=%40NRIII
43,0000000016,q=%40MittRomney
1255,0000000016,q=%40dbongino
985,0000000015,q=%40critz4congress
1089,0000000015,q=%40jayinslee
1790,0000000015,q=%40Cardon2012
379,0000000015,q=%40senatorkirk
1197,0000000015,q=maurice%20sendak
905,0000000015,q=%40kathyhochul
228,0000000015,q=%40obama2012
68,0000000015,q=%40BuddyRoemer
2076,0000000015,q=%23basketball
1360,0000000015,q=%23auburn
1359,0000000015,q=%23auburn
840,0000000015,q=%40berkley4senate
444,0000000015,q=%40sensherrodbrown
1358,0000000015,q=%23auburn
709,0000000014,q=%40repdonnelly
1742,0000000014,q=%40c_sheldon
240,0000000014,q=%23hungergames
1179,0000000014,q=junior%20seau
1011,0000000014,q=%40kristinoem
1289,0000000014,q=%40richardmourdock
710,0000000014,q=%40marlinstutzman
66,0000000014,q=%40GovGaryJohnson
1381,0000000014,q=%40heather4senate
682,0000000013,q=%40luisgutierrez
823,0000000013,q=%40toddakin
1419,0000000013,q=%40dinatitus
118,0000000013,q=%23gopprimary
1105,0000000013,q=%40reppaulryan
608,0000000013,q=%40rosadelauro
1714,0000000013,q=%40wilsonfoley
1710,0000000013,q=%40danrobertict
418,0000000013,q=%40mccaskill2012
2010,0000000013,q=%40ozzie4congress
2003,0000000013,q=%40paigekreegel
647,0000000013,q=%40allenwest4congr
1705,0000000013,q=%40darianovak
309,0000000013,q=%23TXPrimary
548,0000000013,q=%40repzoelofgren
824,0000000013,q=%40reptoddakin
1798,0000000013,q=%40Ann_Kirkpatrick
489,0000000012,q=%40senrockefeller
415,0000000012,q=%40rogerwicker
414,0000000012,q=%40senatorwicker
54,0000000012,q=%40RickSantorum
486,0000000012,q=%40sen_joemanchin
1350,0000000012,q=%40ThomasMassieKY
1116,0000000012,q=%40repribble
1323,0000000012,q=%40mchenrycampaign
369,0000000012,q=%40senrubiopress
511,0000000012,q=%40davidschweikert
1074,0000000011,q=%40randy_forbes
1425,0000000011,q=%40JohnOceguera
940,0000000011,q=%40johnboehner
1173,0000000011,q=%23rubio
1134,0000000011,q=%23trayvon
843,0000000011,q=%40repjoeheck
1287,0000000011,q=%40larrymaggi
1291,0000000011,q=%40Joel4Congress
897,0000000011,q=%40paultonko
697,0000000011,q=%40judybiggert
1482,0000000011,q=%40LeeCRogers
2029,0000000011,q=%40DrShaunCrowell
1875,0000000011,q=%40allenquist
1891,0000000011,q=%23theatershooting
704,0000000011,q=%40repschilling
381,0000000011,q=%40senatordurbin
815,0000000011,q=%40repalannunnelee
427,0000000011,q=%40sendeanheller
1550,0000000011,q=%40casida2012
469,0000000011,q=%40senbobcorker
476,0000000011,q=%40senmikelee
504,0000000011,q=%40repdonyoung
25,0000000011,q=%40newtgingrich
1541,0000000011,q=%40miablove
394,0000000011,q=%40drrandpaul
1736,0000000011,q=%40richard_tisei
247,0000000011,q=%23teampeeta
248,0000000011,q=%23teamgale
1819,0000000011,q=%40navguns
1930,0000000010,q=%40votebaumgartner
1329,0000000010,q=%40DavidRouzer
1560,0000000010,q=%40wendylongforny
699,0000000010,q=%40rephultgren
545,0000000010,q=%40repspeier
459,0000000010,q=%40sentoomey
1755,0000000010,q=anne%20hathaway
707,0000000010,q=%40repshimkus
358,0000000010,q=%40senbennetco
1026,0000000010,q=%40judgetedpoe
189,0000000010,q=%40cfpb
2043,0000000010,q=%40Staats4Congress
360,0000000010,q=%40markudall
364,0000000010,q=%40senatorcarper
2007,0000000010,q=%40loisfrankel
1448,0000000010,q=%40GOPatrickMurray
393,0000000010,q=%40senrandpaul
490,0000000010,q=%40senronjohnson
1450,0000000010,q=%40elizabethemken
1451,0000000010,q=%40emken2012
45,0000000010,q=%40THEHermanCain
392,0000000010,q=%40mcconnellpress
2118,0000000009,q=%23p2b
1107,0000000009,q=%40paulryan
1752,0000000009,q=christian%20bale
600,0000000009,q=%40corygardnerco
348,0000000009,q=%40senjohnmccain
1981,0000000009,q=%40micaforcongress
1007,0000000009,q=%40mickmulvaney
1887,0000000009,q=%40ricknolan2012
433,0000000009,q=%40franklautenberg
1898,0000000009,q=%40petehoekstra
1333,0000000009,q=%40RobertPittenger
773,0000000009,q=%40markeymemo
1412,0000000009,q=%40Lagwolf
1499,0000000009,q=%40Dr_RaulRuiz
718,0000000009,q=%40pencecampaign
1676,0000000009,q=%40repcharlesdjou
1070,0000000009,q=%40delegatedonna
1707,0000000009,q=%40steveobsitnik
1370,0000000009,q=%40christievilsack
786,0000000008,q=%40repdavecamp
2119,0000000008,q=%40demconvention
1184,0000000008,q=%23wiunion
1396,0000000008,q=%40little4congress
1756,0000000008,q=michael%20caine
904,0000000008,q=%40repkathyhochul
657,0000000008,q=%40rephankjohnson
907,0000000008,q=%40louiseslaughter
764,0000000008,q=%40chrisvanhollen
740,0000000008,q=%40repjohnyarmuth
1885,0000000008,q=%40jeffandersonMN
1846,0000000008,q=%40mariasheffield
1839,0000000008,q=%40martha4congress
1374,0000000008,q=%40rehberg2012
67,0000000008,q=%40garyjohnson
595,0000000008,q=%40repdianadegette
673,0000000008,q=%40maziehirono
1202,0000000008,q=%23HewlettFire
875,0000000008,q=%40repjoecrowley
371,0000000007,q=%40saxby08
1248,0000000007,q=%40Schneider4IL10
1498,0000000007,q=%40rep_bonomack
1279,0000000007,q=%40genestilp
1709,0000000007,q=%40elizabeth_esty
669,0000000007,q=%40repjohnbarrow
442,0000000007,q=%40senatorhagan
519,0000000007,q=%40crawford4cong
1379,0000000007,q=%40mattforSD
513,0000000007,q=%40flakeforsenate
473,0000000007,q=%40kaybaileyhutch
2006,0000000007,q=%40adamhasner
2027,0000000007,q=%40theTnZACHPack
1297,0000000007,q=%40SusanBrooks2012
1298,0000000007,q=%40ScottReske
79,0000000007,q=%40invisiblepeople
591,0000000007,q=%40congressmanissa
866,0000000007,q=%40repbenraylujan
1724,0000000007,q=%40billshein
850,0000000007,q=%40repandrews
841,0000000007,q=%40markamodeinv2
1335,0000000007,q=%40KeeverCampaign
1290,0000000007,q=%40JoeForIndiana
1751,0000000007,q=catwoman
119,0000000007,q=%232012GOP
772,0000000007,q=%40reptierney
1802,0000000007,q=%40McSallyCongress
249,0000000007,q=%23panemresistance
2059,0000000007,q=%23gen44
727,0000000007,q=%40tomlatham
1962,0000000006,q=%40drdaveweldon
1971,0000000006,q=%40steveoelrich
1343,0000000006,q=%40HerbRule
406,0000000006,q=%40ussenscottbrown
748,0000000006,q=%40repboustany
2057,0000000006,q=%23tweetforyoucef
1387,0000000006,q=%40teampallone
729,0000000006,q=%40stevekingia
1468,0000000006,q=%40swalwellforca15
1365,0000000006,q=%40kingforcongress
1321,0000000006,q=facebook%20down
932,0000000006,q=%40repmiketurner
1232,0000000006,q=the%20revolution%20will%20not%20be%20televised
1251,0000000006,q=%40davidgill2012
1256,0000000006,q=%40american_made
911,0000000006,q=%40repreneeellmers
1794,0000000006,q=%40CarmonaforAZ
1785,0000000006,q=%40ipl
829,0000000006,q=%40repcleaver
894,0000000006,q=%40repnanhayworth
1704,0000000006,q=%40paulformicact
1300,0000000006,q=%40Bradbookout
1342,0000000006,q=%40Scott_Ellington
512,0000000006,q=%40jeffflake
854,0000000006,q=%40repjonrunyan
1555,0000000006,q=%40shaffer4co
1357,0000000006,q=%23auburn
1660,0000000006,q=%40ChrisHenrichsen
495,0000000006,q=%40repmartharoby
510,0000000006,q=%40repdavid
1118,0000000005,q=%40cynthialummis
1434,0000000005,q=%40scottrigell
1288,0000000005,q=%40timmurphypa
1072,0000000005,q=%40repscottrigell
1368,0000000005,q=%40benlangeia
1102,0000000005,q=%40repmckinley
1436,0000000005,q=%40georgeallenva
1713,0000000005,q=%40andrewroraback
1446,0000000005,q=%40andyschmookler
1706,0000000005,q=%40waynewinsley
1563,0000000005,q=%40israel4congress
1959,0000000005,q=%40roslehtinencamp
1961,0000000005,q=%40mccalister4fl
1211,0000000005,q=%40JoshMandelOhio
1227,0000000005,q=%40marishaagana
1533,0000000005,q=%40votescotthowell
1807,0000000005,q=%40mikelweisser
1896,0000000005,q=%40garyglennus
2019,0000000005,q=%40joegarcia
1803,0000000005,q=%40AmandaAguirreD3
1372,0000000005,q=%40jontester
1264,0000000005,q=%40kentimmerman
1572,0000000005,q=%40colinbeavan
1275,0000000005,q=%40MananTrivedi
2067,0000000005,q=%40olympics
1518,0000000005,q=%40Popaditch
2120,0000000005,q=%40gopconvention
1069,0000000005,q=%40jasoninthehouse
584,0000000005,q=%40marybonomack
833,0000000005,q=%40dennyrehberg
520,0000000005,q=%40reprickcrawford
